date_recorded,cell,side,psid_variant,psid_run_ts,psid_run_ts_on,psid_run_ts_off,dpad_variant,dpad_run_ts,dpad_run_ts_on,dpad_run_ts_off,varma_variant,varma_run_ts,varma_run_ts_on,varma_run_ts_off,varma_run_ts_eval_on,varma_run_ts_eval_off
2026-04-22,PDI1_S2,behavioral,psid_behavioral_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band,20260421_222439,20260422_004246,20260422_010140,dpad_behavioral_PDI1_2_nx_55_n15_e3000_mrmr8_dbs_both_200Hz_narrow_band,20260419_010200,20260419_022551,20260419_040938,varma_behavioral_PDI1_2_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_133800,20260420_133851,20260420_133920,20260420_133920,20260420_133851
2026-04-22,PDI1_S4,behavioral,psid_behavioral_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band,20260422_000702,20260422_004723,20260422_010614,dpad_behavioral_PDI1_4_nx_50_n10_e3000_mrmr8_dbs_both_200Hz_narrow_band,20260419_093953,20260419_142805,20260419_175329,varma_behavioral_PDI1_4_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_134630,20260420_134708,20260420_134733,20260420_134733,20260420_134708
2026-04-22,PDI4_S2,behavioral,psid_behavioral_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band,20260421_202056,20260421_205424,20260421_210809,dpad_behavioral_PDI4_2_nx_50_n10_e3000_mrmr8_dbs_both_200Hz_narrow_band,20260418_225805,20260419_015413,20260419_045131,varma_behavioral_PDI4_2_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_113757,20260420_113832,20260420_113849,20260420_113849,20260420_113832
2026-04-22,PDI4_S3,behavioral,psid_behavioral_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band,20260421_202721,20260421_205640,20260421_211024,dpad_behavioral_PDI4_3_nx_50_n10_e3000_mrmr8_dbs_both_200Hz_narrow_band,20260419_074635,20260419_084914,20260419_120422,varma_behavioral_PDI4_3_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_114212,20260420_114243,20260420_114302,20260420_114302,20260420_114243
2026-04-22,PDI1_S2,laplacian,psid_laplacian_PDI1_2_nx_55_n15_i100_dbs_both_200Hz_narrow_band,20260422_001503,20260422_005041,20260422_010908,,,,,varma_laplacian_PDI1_2_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_134013,20260420_134301,20260420_134423,20260420_134423,20260420_134301
2026-04-22,PDI1_S4,laplacian,psid_laplacian_PDI1_4_nx_50_n10_i100_dbs_both_200Hz_narrow_band,20260422_003140,20260422_005702,20260422_011545,,,,,varma_laplacian_PDI1_4_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_134815,20260420_135024,20260420_135133,20260420_135133,20260420_135024
2026-04-22,PDI4_S2,laplacian,psid_laplacian_PDI4_2_nx_50_n10_i100_dbs_both_200Hz_narrow_band,20260421_203357,20260421_205942,20260421_211211,,,,,varma_laplacian_PDI4_2_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_113921,20260420_114031,20260420_114108,20260420_114108,20260420_114031
2026-04-22,PDI4_S3,laplacian,psid_laplacian_PDI4_3_nx_50_n10_i100_dbs_both_200Hz_narrow_band,20260421_204455,20260421_210331,20260421_211614,,,,,varma_laplacian_PDI4_3_p30_q1_mrmr8_dbs_both_200Hz_narrow_band,20260420_114334,20260420_114444,20260420_114530,20260420_114530,20260420_114444
2026-04-26,PDI1_S2,lap_y2y,psid_laplacian_y2y_PDI1_2_nx_75_n10_i100_dbs_both_200Hz_narrow_band_mrmr8,20260424_075947,20260424_075946,20260424_080441,,,,,,,,,,
2026-04-26,PDI1_S4,lap_y2y,psid_laplacian_y2y_PDI1_4_nx_80_n10_i100_dbs_both_200Hz_narrow_band_mrmr8,20260424_095348,20260424_095348,20260424_095812,,,,,,,,,,
2026-04-26,PDI4_S2,lap_y2y,psid_laplacian_y2y_PDI4_2_nx_60_n7_i100_dbs_both_200Hz_narrow_band_mrmr8,20260424_095949,20260424_095948,20260424_100057,,,,,,,,,,
2026-04-26,PDI4_S3,lap_y2y,psid_laplacian_y2y_PDI4_3_nx_55_n10_i100_dbs_both_200Hz_narrow_band_mrmr8,20260424_103317,20260424_103317,20260424_103456,,,,,,,,,,
