cell,m_sec,m_samples,test_ba,pvalue,n_test,qvalue_bh_within_cell
behavioral_PDI4_3_dbs_both,0.02,4,0.5618181818181818,0.3776223776223776,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.05,10,0.5872727272727273,0.2677322677322677,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.1,20,0.6127272727272728,0.18981018981018982,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.15,30,0.6127272727272728,0.1968031968031968,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.2,40,0.5472727272727272,0.44455544455544455,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.25,50,0.5672727272727273,0.3676323676323676,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.35,70,0.5272727272727272,0.5394605394605395,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.5,100,0.5672727272727273,0.34865134865134867,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,0.75,150,0.5272727272727272,0.5394605394605395,36,0.5994005994005994
behavioral_PDI4_3_dbs_both,1.0,200,0.46181818181818185,0.8021978021978022,36,0.8021978021978022
behavioral_PDI4_2_dbs_both,0.02,4,0.4791666666666667,0.7332667332667333,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.05,10,0.41666666666666663,0.9010989010989011,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.1,20,0.4791666666666667,0.7282717282717283,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.15,30,0.47916666666666663,0.7012987012987013,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.2,40,0.3541666666666667,0.977022977022977,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.25,50,0.41666666666666663,0.9180819180819181,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.35,70,0.4375,0.8561438561438561,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.5,100,0.375,0.9660339660339661,36,0.977022977022977
behavioral_PDI4_2_dbs_both,0.75,150,0.375,0.9660339660339661,36,0.977022977022977
behavioral_PDI4_2_dbs_both,1.0,200,0.375,0.9660339660339661,36,0.977022977022977
laplacian_PDI4_3_dbs_both,0.02,4,0.5981818181818181,0.23476523476523475,36,0.3159340659340659
laplacian_PDI4_3_dbs_both,0.05,10,0.6836363636363636,0.04595404595404595,36,0.21645021645021645
laplacian_PDI4_3_dbs_both,0.1,20,0.4818181818181818,0.7182817182817183,36,0.7182817182817183
laplacian_PDI4_3_dbs_both,0.15,30,0.5927272727272728,0.25274725274725274,36,0.3159340659340659
laplacian_PDI4_3_dbs_both,0.2,40,0.6381818181818182,0.12087912087912088,36,0.28138528138528135
laplacian_PDI4_3_dbs_both,0.25,50,0.6181818181818182,0.16783216783216784,36,0.28138528138528135
laplacian_PDI4_3_dbs_both,0.35,70,0.5727272727272728,0.33166833166833165,36,0.36852036852036846
laplacian_PDI4_3_dbs_both,0.5,100,0.6581818181818182,0.06493506493506493,36,0.21645021645021645
laplacian_PDI4_3_dbs_both,0.75,150,0.6181818181818182,0.16883116883116883,36,0.28138528138528135
laplacian_PDI4_3_dbs_both,1.0,200,0.7036363636363636,0.017982017982017984,36,0.17982017982017984
laplacian_PDI4_2_dbs_both,0.02,4,0.625,0.06293706293706294,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,0.05,10,0.5416666666666666,0.4565434565434565,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,0.1,20,0.5,0.7002997002997003,36,0.7002997002997003
laplacian_PDI4_2_dbs_both,0.15,30,0.5208333333333333,0.6003996003996004,36,0.6671106671106671
laplacian_PDI4_2_dbs_both,0.2,40,0.5416666666666666,0.46253746253746253,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,0.25,50,0.5416666666666666,0.46253746253746253,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,0.35,70,0.5416666666666666,0.46253746253746253,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,0.5,100,0.5416666666666666,0.46253746253746253,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,0.75,150,0.5625,0.34665334665334663,36,0.5781718281718282
laplacian_PDI4_2_dbs_both,1.0,200,0.5833333333333333,0.24875124875124874,36,0.5781718281718282
