variant,target,session,metric,value
vanilla,beh_Z,PDI1_S2,rmse,1.0217754789936833
vanilla,beh_Z,PDI1_S2,pearson,0.043486612048106145
vanilla,beh_Z,PDI1_S2,vaf,0.002148522047090362
vanilla,beh_Z,PDI1_S4,rmse,1.0156921072869645
vanilla,beh_Z,PDI1_S4,pearson,0.006829884394417725
vanilla,beh_Z,PDI1_S4,vaf,0.00019316687788480807
vanilla,beh_Z,PDI4_S2,rmse,1.272864554265565
vanilla,beh_Z,PDI4_S2,pearson,-0.011653019616641178
vanilla,beh_Z,PDI4_S2,vaf,-0.002096690133478924
vanilla,beh_Z,PDI4_S3,rmse,1.2108133349749945
vanilla,beh_Z,PDI4_S3,pearson,0.011972933395822059
vanilla,beh_Z,PDI4_S3,vaf,-0.05012460150258402
vanilla,ecog_Y,PDI1_S2,rmse,0.7025410439391537
vanilla,ecog_Y,PDI1_S2,pearson,0.5936539294080184
vanilla,ecog_Y,PDI1_S2,vaf,0.45082828594895213
vanilla,ecog_Y,PDI1_S4,rmse,0.8410654888262885
vanilla,ecog_Y,PDI1_S4,pearson,0.4980339097576135
vanilla,ecog_Y,PDI1_S4,vaf,0.27908908314952924
vanilla,ecog_Y,PDI4_S2,rmse,0.618092898242805
vanilla,ecog_Y,PDI4_S2,pearson,0.7321212154081154
vanilla,ecog_Y,PDI4_S2,vaf,0.5699074886733035
vanilla,ecog_Y,PDI4_S3,rmse,721483.3977729444
vanilla,ecog_Y,PDI4_S3,pearson,0.00016063759258641414
vanilla,ecog_Y,PDI4_S3,vaf,-3279888430077.7344
vanilla,lap_Z,PDI1_S2,rmse,0.4408794802965429
vanilla,lap_Z,PDI1_S2,pearson,0.839571625495505
vanilla,lap_Z,PDI1_S2,vaf,0.7551887984415836
vanilla,lap_Z,PDI1_S4,rmse,0.5432761048259407
vanilla,lap_Z,PDI1_S4,pearson,0.7816351357358828
vanilla,lap_Z,PDI1_S4,vaf,0.6355467672027151
vanilla,lap_Z,PDI4_S2,rmse,0.48910161836641225
vanilla,lap_Z,PDI4_S2,pearson,0.8333368697346245
vanilla,lap_Z,PDI4_S2,vaf,0.7086801387221179
vanilla,lap_Z,PDI4_S3,rmse,0.5785028580576786
vanilla,lap_Z,PDI4_S3,pearson,0.7063731908144935
vanilla,lap_Z,PDI4_S3,vaf,0.5831959786766752
RTS,beh_Z,PDI1_S2,rmse,1.0219599689064798
RTS,beh_Z,PDI1_S2,pearson,0.042591458020450654
RTS,beh_Z,PDI1_S2,vaf,0.0018552741926055594
RTS,beh_Z,PDI1_S4,rmse,1.0156220615231375
RTS,beh_Z,PDI1_S4,pearson,0.017424458241682043
RTS,beh_Z,PDI1_S4,vaf,0.0005353424446477212
RTS,beh_Z,PDI4_S2,rmse,1.2776309436709654
RTS,beh_Z,PDI4_S2,pearson,-0.01032624413548041
RTS,beh_Z,PDI4_S2,vaf,-0.013327394231133565
RTS,beh_Z,PDI4_S3,rmse,1.2088935398768166
RTS,beh_Z,PDI4_S3,pearson,0.0019531313394383497
RTS,beh_Z,PDI4_S3,vaf,-0.052027451739247124
RTS,ecog_Y,PDI1_S2,rmse,0.5232204478026525
RTS,ecog_Y,PDI1_S2,pearson,0.743560675360672
RTS,ecog_Y,PDI1_S2,vaf,0.6296833194884648
RTS,ecog_Y,PDI1_S4,rmse,0.7121820836840876
RTS,ecog_Y,PDI1_S4,pearson,0.6829104516529252
RTS,ecog_Y,PDI1_S4,vaf,0.46585361686790244
RTS,ecog_Y,PDI4_S2,rmse,0.37162644030345526
RTS,ecog_Y,PDI4_S2,pearson,0.9402977989907364
