framework,side,cell,nx,n1,i,direction,source_variant,source_ts,eval_dir,status,r_Y_test,r_Z_test,note
psid,behavioral,PDI1_2,150,10,60,on_to_off,psid_behavioral_PDI1_2_nx_150_n10_i60_dbs_on_200Hz_narrow_band_mrmr8,20260423_233018,psid_behavioral_PDI1_2_nx_150_n10_i60_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.9917,,i=60 (i=100 SVD did not converge)
psid,behavioral,PDI1_2,150,10,60,off_to_on,psid_behavioral_PDI1_2_nx_150_n10_i60_dbs_off_200Hz_narrow_band_mrmr8,20260423_233608,psid_behavioral_PDI1_2_nx_150_n10_i60_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.9911,,
psid,behavioral,PDI1_4,100,10,100,on_to_off,psid_behavioral_PDI1_4_nx_100_n10_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_051052,psid_behavioral_PDI1_4_nx_100_n10_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.9488,,
psid,behavioral,PDI1_4,100,10,100,off_to_on,psid_behavioral_PDI1_4_nx_100_n10_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_051533,psid_behavioral_PDI1_4_nx_100_n10_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.9773,,
psid,behavioral,PDI4_2,150,7,100,on_to_off,psid_behavioral_PDI4_2_nx_150_n7_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_001957,psid_behavioral_PDI4_2_nx_150_n7_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.9979,0.0076,
psid,behavioral,PDI4_2,150,7,100,off_to_on,psid_behavioral_PDI4_2_nx_150_n7_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_002127,psid_behavioral_PDI4_2_nx_150_n7_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.9982,-0.0064,
psid,behavioral,PDI4_3,150,15,100,on_to_off,psid_behavioral_PDI4_3_nx_150_n15_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_003429,psid_behavioral_PDI4_3_nx_150_n15_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.9953,-0.0081,
psid,behavioral,PDI4_3,150,15,100,off_to_on,psid_behavioral_PDI4_3_nx_150_n15_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_003637,psid_behavioral_PDI4_3_nx_150_n15_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.9953,-0.0021,
psid,laplacian,PDI1_2,75,10,100,on_to_off,psid_laplacian_PDI1_2_nx_75_n10_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_075946,psid_laplacian_PDI1_2_nx_75_n10_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.9935,,
psid,laplacian,PDI1_2,75,10,100,off_to_on,psid_laplacian_PDI1_2_nx_75_n10_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_080441,psid_laplacian_PDI1_2_nx_75_n10_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.9935,,
psid,laplacian,PDI1_4,80,10,100,on_to_off,psid_laplacian_PDI1_4_nx_80_n10_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_095348,psid_laplacian_PDI1_4_nx_80_n10_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.9464,,
psid,laplacian,PDI1_4,80,10,100,off_to_on,psid_laplacian_PDI1_4_nx_80_n10_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_095812,psid_laplacian_PDI1_4_nx_80_n10_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.9709,,
psid,laplacian,PDI4_2,60,7,100,on_to_off,psid_laplacian_PDI4_2_nx_60_n7_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_095948,psid_laplacian_PDI4_2_nx_60_n7_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.8795,0.9056,
psid,laplacian,PDI4_2,60,7,100,off_to_on,psid_laplacian_PDI4_2_nx_60_n7_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_100057,psid_laplacian_PDI4_2_nx_60_n7_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.8659,0.9202,
psid,laplacian,PDI4_3,55,10,100,on_to_off,psid_laplacian_PDI4_3_nx_55_n10_i100_dbs_on_200Hz_narrow_band_mrmr8,20260424_103317,psid_laplacian_PDI4_3_nx_55_n10_i100_dbs_on_200Hz_narrow_band_mrmr8_eval_off,ok,0.8316,0.9344,
psid,laplacian,PDI4_3,55,10,100,off_to_on,psid_laplacian_PDI4_3_nx_55_n10_i100_dbs_off_200Hz_narrow_band_mrmr8,20260424_103456,psid_laplacian_PDI4_3_nx_55_n10_i100_dbs_off_200Hz_narrow_band_mrmr8_eval_on,ok,0.8536,0.9418,
varma,behavioral,PDI1_2,,,,on_to_off,varma_behavioral_PDI1_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_110424,varma_behavioral_PDI1_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,0.3990,0.2654,
varma,behavioral,PDI1_2,,,,off_to_on,varma_behavioral_PDI1_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_110443,varma_behavioral_PDI1_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,0.3482,0.1742,
varma,behavioral,PDI1_4,,,,on_to_off,varma_behavioral_PDI1_4_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_110806,varma_behavioral_PDI1_4_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,-0.0781,0.1400,
varma,behavioral,PDI1_4,,,,off_to_on,varma_behavioral_PDI1_4_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_110819,varma_behavioral_PDI1_4_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,0.6888,0.3655,
varma,behavioral,PDI4_2,,,,on_to_off,varma_behavioral_PDI4_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_215339,varma_behavioral_PDI4_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,0.2043,0.0495,
varma,behavioral,PDI4_2,,,,off_to_on,varma_behavioral_PDI4_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_215325,varma_behavioral_PDI4_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,0.2399,0.4617,
varma,behavioral,PDI4_3,,,,on_to_off,varma_behavioral_PDI4_3_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_215347,varma_behavioral_PDI4_3_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,0.1850,0.1074,
varma,behavioral,PDI4_3,,,,off_to_on,varma_behavioral_PDI4_3_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_215332,varma_behavioral_PDI4_3_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,0.3118,0.0228,
varma,laplacian,PDI1_2,,,,on_to_off,varma_laplacian_PDI1_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_110616,varma_laplacian_PDI1_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,0.0788,-0.0367,
varma,laplacian,PDI1_2,,,,off_to_on,varma_laplacian_PDI1_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_110647,varma_laplacian_PDI1_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,0.0113,0.0059,
varma,laplacian,PDI1_4,,,,on_to_off,varma_laplacian_PDI1_4_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_110925,varma_laplacian_PDI1_4_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,-0.0025,-0.0090,
varma,laplacian,PDI1_4,,,,off_to_on,varma_laplacian_PDI1_4_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_110947,varma_laplacian_PDI1_4_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,0.0037,0.0105,
varma,laplacian,PDI4_2,,,,on_to_off,varma_laplacian_PDI4_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_215242,varma_laplacian_PDI4_2_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,0.1560,0.1560,
varma,laplacian,PDI4_2,,,,off_to_on,varma_laplacian_PDI4_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_215225,varma_laplacian_PDI4_2_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,-0.1330,-0.1330,
varma,laplacian,PDI4_3,,,,on_to_off,varma_laplacian_PDI4_3_p30_q1_mrmr8_dbs_on_200Hz_narrow_band,20260424_215251,varma_laplacian_PDI4_3_p30_q1_mrmr8_dbs_on_200Hz_narrow_band_eval_off,ok,0.0655,0.0655,
varma,laplacian,PDI4_3,,,,off_to_on,varma_laplacian_PDI4_3_p30_q1_mrmr8_dbs_off_200Hz_narrow_band,20260424_215233,varma_laplacian_PDI4_3_p30_q1_mrmr8_dbs_off_200Hz_narrow_band_eval_on,ok,-0.0154,-0.0154,
