participant,session,mode,category,best_h,best_m,cv_ba,training_ts,machine,status,note
PDI1,2,behavioral,Xp,2.0,0.5,0.6146,20260418_190725,jacque,ok,rerun after bobby smoke test died mid-perm
PDI1,2,behavioral,Xp_1,1.0,0.5,0.5417,20260418_190725,jacque,ok,rerun after bobby smoke test died mid-perm
PDI1,2,behavioral,Xp_2,1.0,1.0,0.5208,20260418_190725,jacque,ok,rerun after bobby smoke test died mid-perm
PDI1,2,behavioral,Xp_with_dbs,1.0,0.5,1.0000,20260418_190725,jacque,ok,expected 1.0 (DBS covariate)
PDI1,2,behavioral,flipped,1.0,0.5,0.1911,20260418_190725,jacque,ok,rerun after bobby smoke test died mid-perm
PDI1,2,laplacian,Xp,2.0,1.0,0.7969,20260422_224627,bobby,ok,
PDI1,2,laplacian,Xp_1,3.0,0.5,0.8229,20260422_224627,bobby,ok,
PDI1,2,laplacian,Xp_2,2.0,0.5,0.8229,20260422_224627,bobby,ok,
PDI1,2,laplacian,Xp_with_dbs,1.0,0.5,1.0000,20260422_224627,bobby,ok,expected 1.0 (DBS covariate)
PDI1,2,laplacian,flipped,1.0,0.5,0.8252,20260422_224627,bobby,ok,
PDI1,4,behavioral,Xp,1.0,0.5,0.7500,20260422_224627,bobby,ok,
PDI1,4,behavioral,Xp_1,2.0,1.0,0.4722,20260422_224627,bobby,ok,
PDI1,4,behavioral,Xp_2,1.0,0.5,0.7500,20260422_224627,bobby,ok,
PDI1,4,behavioral,Xp_with_dbs,1.0,0.5,1.0000,20260422_224627,bobby,ok,expected 1.0 (DBS covariate)
PDI1,4,behavioral,flipped,1.0,0.5,0.7271,20260422_224627,bobby,ok,
PDI1,4,laplacian,Xp,3.0,0.5,0.6806,20260422_224627,bobby,ok,
PDI1,4,laplacian,Xp_1,3.0,0.5,0.6250,20260422_224627,bobby,ok,
PDI1,4,laplacian,Xp_2,3.0,1.0,0.6111,20260422_224627,bobby,ok,
PDI1,4,laplacian,Xp_with_dbs,1.0,0.5,1.0000,20260422_224627,bobby,ok,expected 1.0 (DBS covariate)
PDI1,4,laplacian,flipped,1.0,0.5,0.1473,20260422_224627,bobby,ok,anti-correlated — labels inverted relative to decoder
PDI4,2,behavioral,Xp,3.0,0.5,0.6742,20260422_224627,jacque,ok,
PDI4,2,behavioral,Xp_1,2.0,0.5,0.5758,20260422_224627,jacque,ok,
PDI4,2,behavioral,Xp_2,3.0,0.5,0.6199,20260422_224627,jacque,ok,
PDI4,2,behavioral,Xp_with_dbs,1.0,0.5,1.0000,20260422_224627,jacque,ok,expected 1.0 (DBS covariate)
PDI4,2,behavioral,flipped,1.0,0.5,0.4771,20260422_224627,jacque,ok,
PDI4,2,laplacian,Xp,1.0,1.0,0.6641,20260423_010215,bobby,ok,post-fix (ModeConfig outputs now mirror neural_input for laplacian)
PDI4,2,laplacian,Xp_1,1.0,0.5,0.6919,20260423_010215,bobby,ok,post-fix
PDI4,2,laplacian,Xp_2,2.0,1.0,0.6174,20260423_010215,bobby,ok,post-fix
PDI4,2,laplacian,Xp_with_dbs,1.0,0.5,1.0000,20260423_010215,bobby,ok,expected 1.0 (DBS covariate)
PDI4,2,laplacian,flipped,1.0,0.5,0.3617,20260423_010215,bobby,ok,dbs_on/off retrained ts=20260423_094229
PDI4,3,behavioral,Xp,3.0,0.5,0.6326,20260422_224627,jacque,ok,
PDI4,3,behavioral,Xp_1,2.0,1.0,0.5619,20260422_224627,jacque,ok,
PDI4,3,behavioral,Xp_2,3.0,0.5,0.6755,20260422_224627,jacque,ok,
PDI4,3,behavioral,Xp_with_dbs,1.0,0.5,1.0000,20260422_224627,jacque,ok,expected 1.0 (DBS covariate)
PDI4,3,behavioral,flipped,1.0,0.5,0.1231,20260422_224627,jacque,ok,anti-correlated
PDI4,3,laplacian,Xp,1.0,0.5,0.4242,20260422_224627,jacque,ok,
PDI4,3,laplacian,Xp_1,1.0,0.5,0.4722,20260422_224627,jacque,ok,
PDI4,3,laplacian,Xp_2,1.0,0.5,0.4104,20260422_224627,jacque,ok,
PDI4,3,laplacian,Xp_with_dbs,1.0,0.5,1.0000,20260422_224627,jacque,ok,expected 1.0 (DBS covariate)
PDI4,3,laplacian,flipped,1.0,0.5,0.1942,20260422_224627,jacque,ok,anti-correlated
