panel,session,feature,model,mode,balanced_accuracy,perm_pvalue,best_h_m
prediction,PDI1_S2,xp,PSID,behavioral,0.5344,0.0099,
prediction,PDI1_S2,xp_1,PSID,behavioral,0.4918,0.7228,
prediction,PDI1_S2,xp_2,PSID,behavioral,0.5426,0.0198,
prediction,PDI1_S2,xp_with_dbs,PSID,behavioral,1.0000,0.0099,
prediction,PDI1_S4,xp,PSID,behavioral,0.5495,0.0099,
prediction,PDI1_S4,xp_1,PSID,behavioral,0.5219,0.1089,
prediction,PDI1_S4,xp_2,PSID,behavioral,0.5516,0.0099,
prediction,PDI1_S4,xp_with_dbs,PSID,behavioral,1.0000,0.0099,
prediction,PDI4_S2,xp,PSID,behavioral,0.5290,0.0297,
prediction,PDI4_S2,xp_1,PSID,behavioral,0.5009,0.6139,
prediction,PDI4_S2,xp_2,PSID,behavioral,0.5507,0.0198,
prediction,PDI4_S2,xp_with_dbs,PSID,behavioral,1.0000,0.0099,
prediction,PDI4_S3,xp,PSID,behavioral,0.4839,0.9406,
prediction,PDI4_S3,xp_1,PSID,behavioral,0.5000,0.5149,
prediction,PDI4_S3,xp_2,PSID,behavioral,0.4820,0.9307,
prediction,PDI4_S3,xp_with_dbs,PSID,behavioral,1.0000,0.0099,
prediction,PDI1_S2 (lap),xp,PSID,laplacian,0.5643,0.0099,
prediction,PDI1_S2 (lap),xp_1,PSID,laplacian,0.5181,0.1287,
prediction,PDI1_S2 (lap),xp_2,PSID,laplacian,0.5797,0.0099,
prediction,PDI1_S2 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,
prediction,PDI1_S4 (lap),xp,PSID,laplacian,0.5582,0.0099,
prediction,PDI1_S4 (lap),xp_1,PSID,laplacian,0.4996,0.5842,
prediction,PDI1_S4 (lap),xp_2,PSID,laplacian,0.5720,0.0099,
prediction,PDI1_S4 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,
prediction,PDI4_S2 (lap),xp,PSID,laplacian,0.5353,0.0198,
prediction,PDI4_S2 (lap),xp_1,PSID,laplacian,0.5389,0.0099,
prediction,PDI4_S2 (lap),xp_2,PSID,laplacian,0.5634,0.0099,
prediction,PDI4_S2 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,
prediction,PDI4_S3 (lap),xp,PSID,laplacian,0.5000,0.5545,
prediction,PDI4_S3 (lap),xp_1,PSID,laplacian,0.5000,0.5644,
prediction,PDI4_S3 (lap),xp_2,PSID,laplacian,0.5302,0.0099,
prediction,PDI4_S3 (lap),xp_with_dbs,PSID,laplacian,1.0000,0.0099,
prediction,PDI1_S2,xp,DPAD,behavioral,0.5453,0.0099,
prediction,PDI1_S2,xp_1,DPAD,behavioral,0.5408,0.0099,
prediction,PDI1_S2,xp_2,DPAD,behavioral,0.5399,0.0198,
prediction,PDI1_S2,xp_with_dbs,DPAD,behavioral,1.0000,0.0099,
prediction,PDI1_S4,xp,DPAD,behavioral,,,
prediction,PDI1_S4,xp_1,DPAD,behavioral,,,
prediction,PDI1_S4,xp_2,DPAD,behavioral,,,
prediction,PDI1_S4,xp_with_dbs,DPAD,behavioral,,,
prediction,PDI4_S2,xp,DPAD,behavioral,,,
prediction,PDI4_S2,xp_1,DPAD,behavioral,,,
prediction,PDI4_S2,xp_2,DPAD,behavioral,,,
prediction,PDI4_S2,xp_with_dbs,DPAD,behavioral,,,
prediction,PDI4_S3,xp,DPAD,behavioral,,,
prediction,PDI4_S3,xp_1,DPAD,behavioral,,,
prediction,PDI4_S3,xp_2,DPAD,behavioral,,,
prediction,PDI4_S3,xp_with_dbs,DPAD,behavioral,,,
